station_name,latitude,longitude,bikes_available,bikes_taken,bikes_total,percent_avail,percent_taken
Cultural,-32.88409,-68.84897,7,0,7,100.0,0.0
Plaza Independencia,-32.8895,-68.846,17,0,17,100.0,0.0
Muni,-32.897942,-68.842463,7,0,7,100.0,0.0
Terminal,-32.8938219,-68.8296553,2,0,2,100.0,0.0
Benegas,-32.9523902,-68.8537488,10,0,10,100.0,0.0
Chacabuco,-32.9163148,-68.8511836,4,0,4,100.0,0.0
Pescarmona,-32.9228551,-68.839564,5,0,5,100.0,0.0
Parque Lineal,-32.8706243,-68.8433289,8,0,8,100.0,0.0
EA Aristides,-32.8912,-68.8602,4,12,16,25.0,75.0
EA Muni,-32.8981,-68.8431,1,2,3,33.33,66.67
EA - Kilómetro 0,-32.8907,-68.8387,0,24,24,0.0,100.0
EA Plaza San Martín,-32.8871,-68.8407,0,12,12,0.0,100.0
EA - Belgrano,-32.8937,-68.8512,0,23,23,0.0,100.0
EA Parque O'Higgins,-32.8847,-68.8296,0,23,23,0.0,100.0
EA Pedro Molina,-32.8961,-68.8459,0,12,12,0.0,100.0
Bicis Eléctricas,-32.8981,-68.8432,15,0,15,100.0,0.0
EA Parque Mitre,-32.9434,-68.818481,1,5,6,16.67,83.33
EA Palmares,-32.957213,-68.859185,0,6,6,0.0,100.0
EA Skate Park,-32.931894,-68.852796,2,10,12,16.67,83.33
EA Benegas,-32.952424,-68.853741,45,25,70,64.29,35.71
EA Pescarmona,-32.924682,-68.842504,0,12,12,0.0,100.0
