id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance,latitude,longitude
HtAhkhT4ITrDFSQxqbbucQ,cachitas-mendoza,Cachita's,https://s3-media1.fl.yelpcdn.com/bphoto/cli340y_U05OQiWXu-X8Rg/o.jpg,False,https://www.yelp.com/biz/cachitas-mendoza?adjust_creative=vC3cnbbr7GFEW4B7uvET4A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vC3cnbbr7GFEW4B7uvET4A,7,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'burgers', 'title': 'Burgers'}]",5.0,"{'latitude': -32.8888128760799, 'longitude': -68.8493720814586}",[],$$,"{'address1': 'Av. Sarmiento 784', 'address2': '', 'address3': '', 'city': 'Mendoza', 'zip_code': '5500', 'country': 'AR', 'state': 'M', 'display_address': ['Av. Sarmiento 784', '5500 Mendoza', 'Argentina']}",+542614258958,+54 261 425-8958,526.4996335924028,-32.88409,-68.84897
I3yljXkYDFRAZ3TuObhC5w,la-barra-mendoza,La Barra,https://s3-media3.fl.yelpcdn.com/bphoto/gVwVZO9WKjBH1TopZ9CIqg/o.jpg,False,https://www.yelp.com/biz/la-barra-mendoza?adjust_creative=vC3cnbbr7GFEW4B7uvET4A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vC3cnbbr7GFEW4B7uvET4A,5,"[{'alias': 'argentine', 'title': 'Argentine'}]",5.0,"{'latitude': -32.8898057430266, 'longitude': -68.8501988335182}",[],$$$,"{'address1': 'Av.  Belgrano 1086', 'address2': '', 'address3': '', 'city': 'Mendoza', 'zip_code': '', 'country': 'AR', 'state': 'M', 'display_address': ['Av.  Belgrano 1086', 'Mendoza', 'Argentina']}",+541156541950,+54 11 5654-1950,645.8355222493303,-32.88409,-68.84897
V2sDzIU3rKFkA7r_8-POuQ,unión-mendoza,Unión,https://s3-media2.fl.yelpcdn.com/bphoto/qkh9dz4tJ8ZzCBm6K2k8tA/o.jpg,False,https://www.yelp.com/biz/uni%C3%B3n-mendoza?adjust_creative=vC3cnbbr7GFEW4B7uvET4A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vC3cnbbr7GFEW4B7uvET4A,5,"[{'alias': 'cafeteria', 'title': 'Cafeteria'}]",5.0,"{'latitude': -32.8886898, 'longitude': -68.8491983}",[],,"{'address1': 'Av. Sarmiento 777', 'address2': '', 'address3': None, 'city': 'Mendoza', 'zip_code': 'M5500', 'country': 'AR', 'state': 'M', 'display_address': ['Av. Sarmiento 777', 'M5500 Mendoza', 'Argentina']}",+542644299009,+54 264 429-9009,509.79534396725614,-32.88409,-68.84897
p_nchEuqalCPSzYjR2QCJg,cordillera-vinos-y-fuegos-mendoza-2,Cordillera Vinos y Fuegos,https://s3-media1.fl.yelpcdn.com/bphoto/5zuotZ-_06Gcor31YTmsRA/o.jpg,False,https://www.yelp.com/biz/cordillera-vinos-y-fuegos-mendoza-2?adjust_creative=vC3cnbbr7GFEW4B7uvET4A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vC3cnbbr7GFEW4B7uvET4A,13,"[{'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'argentine', 'title': 'Argentine'}]",4.5,"{'latitude': -32.8895176468452, 'longitude': -68.8501069515121}",[],$$$,"{'address1': 'Belgrano 1028', 'address2': '', 'address3': '', 'city': 'Mendoza', 'zip_code': '5500', 'country': 'AR', 'state': 'C', 'display_address': ['Belgrano 1028', '5500 Mendoza', 'Argentina']}",+542614239704,+54 261 423-9704,612.7922959311583,-32.88409,-68.84897
w4Mt3rz9-pcSKMYcnAeqrg,silla-14-mendoza,Silla 14,https://s3-media2.fl.yelpcdn.com/bphoto/hkIT9VE7aJngm2o02_kVnw/o.jpg,False,https://www.yelp.com/biz/silla-14-mendoza?adjust_creative=vC3cnbbr7GFEW4B7uvET4A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vC3cnbbr7GFEW4B7uvET4A,8,"[{'alias': 'cafeteria', 'title': 'Cafeteria'}]",4.5,"{'latitude': -32.8923837459877, 'longitude': -68.8487298444058}",[],$$,"{'address1': 'San Lorenzo 656', 'address2': '', 'address3': '', 'city': 'Mendoza', 'zip_code': 'M5500', 'country': 'AR', 'state': 'M', 'display_address': ['San Lorenzo 656', 'M5500 Mendoza', 'Argentina']}",+542614238837,+54 261 423-8837,922.4940412552567,-32.88409,-68.84897
CzTg_TsdtqZcvk5tPuwvuA,anna-bistro-mendoza,Anna Bistro,https://s3-media2.fl.yelpcdn.com/bphoto/FwyOhyOnSwecP9Ve-sjUqg/o.jpg,False,https://www.yelp.com/biz/anna-bistro-mendoza?adjust_creative=vC3cnbbr7GFEW4B7uvET4A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vC3cnbbr7GFEW4B7uvET4A,45,"[{'alias': 'bistros', 'title': 'Bistros'}, {'alias': 'argentine', 'title': 'Argentine'}, {'alias': 'french', 'title': 'French'}]",4.5,"{'latitude': -32.8838907830723, 'longitude': -68.8511947884039}",[],$$,"{'address1': 'Av. Juan B. Justo 161', 'address2': None, 'address3': None, 'city': 'Mendoza', 'zip_code': '5500', 'country': 'AR', 'state': 'M', 'display_address': ['Av. Juan B. Justo 161', '5500 Mendoza', 'Argentina']}",+542614251818,+54 261 425-1818,208.92450373982308,-32.88409,-68.84897
jBcIZKAK2NDg3jriWuBgpw,tasting-patagonia-mendoza-3,Tasting Patagonia,https://s3-media2.fl.yelpcdn.com/bphoto/JveaYCwLlXNR25KTOmEPuA/o.jpg,False,https://www.yelp.com/biz/tasting-patagonia-mendoza-3?adjust_creative=vC3cnbbr7GFEW4B7uvET4A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vC3cnbbr7GFEW4B7uvET4A,4,"[{'alias': 'gastropubs', 'title': 'Gastropubs'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'argentine', 'title': 'Argentine'}]",5.0,"{'latitude': -32.8881980467318, 'longitude': -68.8459829606438}",[],,"{'address1': 'Espejo 593', 'address2': None, 'address3': '', 'city': 'Mendoza', 'zip_code': 'M5500', 'country': 'AR', 'state': 'M', 'display_address': ['Espejo 593', 'M5500 Mendoza', 'Argentina']}",+542614231573,+54 261 423-1573,535.2152230087518,-32.88409,-68.84897
HmzG3jM8bPtsfApCZimzMA,fuente-y-fonda-mendoza,Fuente y Fonda,https://s3-media2.fl.yelpcdn.com/bphoto/aBDS_hofa0H7OHynfn2wqg/o.jpg,False,https://www.yelp.com/biz/fuente-y-fonda-mendoza?adjust_creative=vC3cnbbr7GFEW4B7uvET4A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vC3cnbbr7GFEW4B7uvET4A,24,"[{'alias': 'argentine', 'title': 'Argentine'}, {'alias': 'bars', 'title': 'Bars'}]",4.5,"{'latitude': -32.8910484, 'longitude': -68.8485107}",[],$$$,"{'address1': 'Montevideo 675', 'address2': '', 'address3': '', 'city': 'Mendoza', 'zip_code': '5500', 'country': 'AR', 'state': 'M', 'display_address': ['Montevideo 675', '5500 Mendoza', 'Argentina']}",+542614298833,+54 261 429-8833,770.2252968653789,-32.88409,-68.84897
UuMVAS3Zsy_0SP18wEnc-Q,el-asadito-mendoza,El Asadito,https://s3-media2.fl.yelpcdn.com/bphoto/U1l-OEiIUaHtILAXkFKbiA/o.jpg,False,https://www.yelp.com/biz/el-asadito-mendoza?adjust_creative=vC3cnbbr7GFEW4B7uvET4A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vC3cnbbr7GFEW4B7uvET4A,8,"[{'alias': 'steak', 'title': 'Steakhouses'}]",4.5,"{'latitude': -32.8838086, 'longitude': -68.8563168}",[],$$$,"{'address1': 'Av. Juan B. Justo 512', 'address2': '', 'address3': None, 'city': 'Mendoza', 'zip_code': 'M5500', 'country': 'AR', 'state': 'M', 'display_address': ['Av. Juan B. Justo 512', 'M5500 Mendoza', 'Argentina']}",+542612058580,+54 261 205-8580,686.4010003475712,-32.88409,-68.84897
QrgqBZRhbx5kNJ2hDoDGrQ,josefina-mendoza,Josefina,https://s3-media4.fl.yelpcdn.com/bphoto/sPX69WoJRVcRMoMIBy-sMg/o.jpg,False,https://www.yelp.com/biz/josefina-mendoza?adjust_creative=vC3cnbbr7GFEW4B7uvET4A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vC3cnbbr7GFEW4B7uvET4A,21,"[{'alias': 'argentine', 'title': 'Argentine'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",4.5,"{'latitude': -32.8928140329068, 'longitude': -68.8523667678237}",[],$$,"{'address1': 'Av. Villanueva Aristides 165', 'address2': '', 'address3': None, 'city': 'Mendoza', 'zip_code': 'M5500', 'country': 'AR', 'state': 'M', 'display_address': ['Av. Villanueva Aristides 165', 'M5500 Mendoza', 'Argentina']}",+542614233531,+54 261 423-3531,1020.6007578281988,-32.88409,-68.84897
