longitude,latitude,yp_distance_avg,yp_distance_max,yp_distance_min,yp_name_count,yp_review_count_avg,yp_review_count_max,yp_review_count_min,yp_price_avg,yp_price_max,yp_price_min,yp_rating_avg,yp_rating_max,yp_rating_min
-68.8602,-32.8912,613.31,974.41,143.44,17,7.65,21,1,1.71,3.0,0.0,4.35,5.0,3.5
-68.859185,-32.957213,453.05,976.82,180.28,7,0.71,2,0,0.29,2.0,0.0,1.5,5.0,0.0
-68.858351,-32.870709,676.63,944.41,309.51,4,0.25,1,0,0.0,0.0,0.0,0.75,3.0,0.0
-68.8537488,-32.9523902,657.41,938.78,436.22,7,0.71,2,0,0.29,2.0,0.0,1.5,5.0,0.0
-68.853741,-32.952424,657.04,935.51,439.79,7,0.71,2,0,0.29,2.0,0.0,1.5,5.0,0.0
-68.852796,-32.931894,511.88,778.77,342.83,4,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
-68.8512,-32.8937,534.4,954.79,146.88,20,13.85,66,1,1.7,4.0,0.0,4.5,5.0,4.0
-68.8511836,-32.9163148,830.93,877.83,771.78,3,13.67,38,1,2.0,4.0,0.0,3.0,4.0,1.0
-68.84897,-32.88409,618.44,922.49,208.92,17,15.94,66,2,1.82,4.0,0.0,4.56,5.0,4.0
-68.846,-32.8895,398.06,876.77,143.44,19,16.26,66,2,1.79,4.0,0.0,4.5,5.0,4.0
-68.8459,-32.8961,786.73,943.59,471.79,20,13.85,66,1,1.7,4.0,0.0,4.5,5.0,4.0
-68.8433289,-32.8706243,640.02,894.49,376.19,3,1.0,3,0,0.67,2.0,0.0,1.5,4.5,0.0
-68.8432,-32.8981,709.02,986.1,204.35,12,5.17,24,1,0.83,3.0,0.0,4.42,5.0,4.0
-68.8431,-32.8981,710.88,993.28,196.05,12,5.17,24,1,0.83,3.0,0.0,4.42,5.0,4.0
-68.842504,-32.924682,836.32,958.6,593.42,4,0.5,2,0,0.0,0.0,0.0,1.25,5.0,0.0
-68.842463,-32.897942,687.39,952.66,135.82,11,5.45,24,1,0.91,3.0,0.0,4.45,5.0,4.0
-68.8407,-32.8871,718.81,952.54,200.37,19,12.42,66,1,1.63,4.0,0.0,4.58,5.0,4.0
-68.839564,-32.9228551,911.12,971.42,897.01,8,0.25,2,0,0.0,0.0,0.0,0.62,5.0,0.0
-68.8387,-32.8907,688.52,994.15,141.63,18,8.61,66,1,1.33,4.0,0.0,4.5,5.0,4.0
-68.8296553,-32.8938219,912.17,988.05,811.81,4,3.0,6,1,0.75,2.0,0.0,2.5,3.5,1.0
-68.8296,-32.8847,811.21,898.62,730.89,3,2.67,6,1,1.0,2.0,0.0,4.17,5.0,3.5
